(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.22315927,  0.77684073]), 1)
(array([ 0.06721405,  0.93278595]), 1)
(array([ 0.35668436,  0.64331564]), 1)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.44667868,  0.55332132]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.03560753,  0.96439247]), 1)
(array([ 0.21162422,  0.78837578]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.69088114,  0.30911886]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.03560753,  0.96439247]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.35668436,  0.64331564]), 1)
(array([ 0.53384673,  0.46615327]), 0)
(array([ 0.06652255,  0.93347745]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.67863615,  0.32136385]), 0)
(array([ 0.75458106,  0.24541894]), 0)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.1597475,  0.8402525]), 1)
(array([ 0.66719569,  0.33280431]), 0)
(array([ 0.21679825,  0.78320175]), 1)
(array([ 0.8134962,  0.1865038]), 0)
(array([ 0.28196619,  0.71803381]), 1)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.12328905,  0.87671095]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.28196619,  0.71803381]), 1)
(array([ 0.68530299,  0.31469701]), 0)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.36523573,  0.63476427]), 1)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.35668436,  0.64331564]), 1)
(array([ 0.49903536,  0.50096464]), 1)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.36523573,  0.63476427]), 1)
(array([ 0.75458106,  0.24541894]), 0)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.27800346,  0.72199654]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.4327033,  0.5672967]), 1)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.58560723,  0.41439277]), 0)
(array([ 0.087192,  0.912808]), 1)
(array([ 0.35074287,  0.64925713]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.04666105,  0.95333895]), 1)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.35668436,  0.64331564]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.69088114,  0.30911886]), 0)
(array([ 0.35074287,  0.64925713]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.61899576,  0.38100424]), 0)
(array([ 0.69088114,  0.30911886]), 0)
(array([ 0.1597475,  0.8402525]), 1)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.4263347,  0.5736653]), 1)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.76022904,  0.23977096]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.35074287,  0.64925713]), 1)
